Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
17,Mike Evans,TB,WR,15,136,71,52.2,1001,5,42,7.4,14.1,0,0,0,0,1,0,13.5,203.1
18,Robby Anderson,NYJ,WR,16,114,63,55.3,941,7,69,8.3,14.9,3,9,3,0,0,0,12.5,200
19,Stefon Diggs,MIN,WR,14,95,64,67.4,849,8,59,8.9,13.3,8,13,1.6,0,0,0,14.2,198.2
20,Alshon Jeffery,PHI,WR,16,120,57,47.5,789,9,53,6.6,13.8,0,0,0,0,0,0,12.2,195.9
21,Devin Funchess,CAR,WR,16,111,63,56.8,840,8,44,7.6,13.3,0,0,0,0,0,0,12.2,195
22,Nelson Agholor,PHI,WR,16,95,62,65.3,768,8,72,8.1,12.4,1,7,7,1,0,0,12.1,193.5
23,Juju Smith-Schuster,PIT,WR,14,79,58,73.4,917,7,97,11.6,15.8,0,0,0,0,0,0,13.7,191.7
24,Dez Bryant,DAL,WR,16,132,69,52.3,838,6,50,6.3,12.1,1,-4,-4,0,1,1,11.6,186.4
25,Cooper Kupp,LAR,WR,15,94,62,66,869,5,64,9.2,14,0,0,0,0,1,1,11.8,176.9
26,Jermaine Kearse,NYJ,WR,16,102,65,63.7,810,5,51,7.9,12.5,0,0,0,0,1,0,11,176
27,T.Y. Hilton,IND,WR,16,109,57,52.3,966,4,80,8.9,16.9,0,0,0,0,2,1,11,175.6
28,Kenny Stills,MIA,WR,16,105,58,55.2,847,6,61,8.1,14.6,0,0,0,0,4,2,10.9,174.7
29,Mohamed Sanu,ATL,WR,15,96,67,69.8,703,5,25,7.3,10.5,4,10,2.5,0,0,0,11.6,174.34
30,Michael Crabtree,OAK,WR,14,101,58,57.4,618,8,41,6.1,10.7,0,0,0,0,1,0,12.3,171.8
31,Marquise Goodwin,SF,WR,16,105,56,53.3,962,2,83,9.2,17.2,4,44,11,0,0,0,10.5,168.6
32,Robert Woods,LAR,WR,12,85,56,65.9,781,5,94,9.2,13.9,2,12,6,0,1,1,13.6,163.3
33,Jamison Crowder,WAS,WR,15,103,66,64.1,789,3,41,7.7,12,7,34,4.9,0,6,3,10.7,160.3
34,Ted Ginn,NO,WR,15,70,53,75.7,787,4,54,11.2,14.8,10,39,3.9,0,2,0,10.6,159.6
35,Randall Cobb,GB,WR,15,92,66,71.7,653,4,46,7.1,9.9,9,17,1.9,0,1,0,10.6,159.4
36,Amari Cooper,OAK,WR,14,96,48,50,680,7,87,7.1,14.2,1,4,4,0,1,0,11.3,158.4
37,Rishard Matthews,TEN,WR,14,87,53,60.9,795,4,75,9.1,15,1,-3,-3,0,0,0,11.2,156.2
38,Mike Wallace,BAL,WR,15,92,52,56.5,748,4,66,8.1,14.4,1,4,4,0,0,0,10.1,151.2
39,Paul Richardson,SEA,WR,16,80,44,55,703,6,61,8.8,16,0,0,0,0,0,0,9.4,150.3
40,Marqise Lee,JAX,WR,14,96,56,58.3,702,3,45,7.3,12.5,1,17,17,0,1,0,10.6,147.9
41,Sammy Watkins,LAR,WR,15,70,39,55.7,593,8,67,8.5,15.2,0,0,0,0,0,0,9.8,146.3
42,Sterling Shepard,NYG,WR,11,84,59,70.2,731,2,77,8.7,12.4,4,4,1,0,1,0,13.1,144.5
43,Danny Amendola,NE,WR,15,87,61,70.1,659,2,27,7.6,10.8,0,0,0,0,2,0,9.3,138.9
44,DeSean Jackson,TB,WR,14,90,50,55.6,668,3,41,7.4,13.4,3,38,12.7,0,0,0,9.9,138.6
45,Tyrell Williams,LAC,WR,16,69,43,62.3,728,4,75,10.6,16.9,0,0,0,0,1,1,8.6,137.8
46,Jordy Nelson,GB,WR,15,88,53,60.2,482,6,58,5.5,9.1,0,0,0,0,0,0,9.1,137.2
47,Kelvin Benjamin,BUF,WR,14,78,48,61.5,692,3,43,8.9,14.4,0,0,0,0,0,0,9.7,135.2
48,Keelan Cole,JAX,WR,16,83,42,50.6,748,3,75,9,17.8,0,0,0,0,2,1,8.3,132.8
49,Martavis Bryant,PIT,WR,15,84,50,59.5,603,3,51,7.2,12.1,6,22,3.7,0,0,0,8.8,132.5
50,Devante Parker,MIA,WR,13,96,57,59.4,670,1,36,7,11.8,0,0,0,0,1,0,10,130
51,Adam Humphries,TB,WR,16,83,61,73.5,631,1,43,7.6,10.3,1,6,6,0,1,1,8,128.7
52,Kendall Wright,CHI,WR,16,91,59,64.8,614,1,22,6.7,10.4,0,0,0,0,0,0,7.9,126.4
53,Ryan Grant,WAS,WR,16,65,45,69.2,573,4,40,8.8,12.7,0,0,0,0,0,0,7.9,126.3
54,Brandon LaFell,CIN,WR,16,89,52,58.4,548,3,45,6.2,10.5,0,0,0,0,1,0,7.8,124.8
55,Travis Benjamin,LAC,WR,16,65,34,52.3,567,4,62,8.7,16.7,13,96,7.4,0,2,0,7.8,124.3
56,Josh Doctson,WAS,WR,16,78,35,44.9,502,6,52,6.4,14.3,1,-14,-14,0,0,0,7.5,119.8
57,Tyler Lockett,SEA,WR,16,71,45,63.4,555,2,74,7.8,12.3,10,58,5.8,0,0,0,7.4,118.3
58,Eric Decker,TEN,WR,16,83,54,65.1,563,1,29,6.8,10.4,0,0,0,0,0,0,7.3,116.3
59,Albert Wilson,KC,WR,13,62,42,67.7,554,3,63,8.9,13.2,3,6,2,0,0,0,8.9,116
60,Emmanuel Sanders,DEN,WR,12,92,47,51.1,555,2,38,6,11.8,0,0,0,0,0,0,9.5,114.5
